"School","Gender","Ethnicity","Type of Homelessness","Count of Students","year"
"Harada Elem","M","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"Harada Elem","M","Hispanic","Temporarily Doubled Up",37,"2009-2010"
"Harada Elem","M","White","Hotels/motels",1,"2009-2010"
"Harada Elem","M","White","Temporarily Doubled Up",4,"2009-2010"
"Harada Elem","M","White","Temporary Shelters",1,"2009-2010"
"Headstart","F","Hispanic","Temporarily Doubled Up",3,"2009-2010"
"Headstart","M","Hispanic","Temporarily Doubled Up",4,"2009-2010"
"Highland Elem","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Highland Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Highland Elem","F","Hispanic","Temporarily Doubled Up",16,"2009-2010"
"Highland Elem","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Highland Elem","F","White","Temporarily Doubled Up",8,"2009-2010"
"Highland Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Highland Elem","M","Hispanic","Hotels/motels",2,"2009-2010"
"Highland Elem","M","Hispanic","Temporarily Doubled Up",21,"2009-2010"
"Highland Elem","M","Pac Islander-Other","Temporarily Doubled Up",1,"2009-2010"
"Highland Elem","M","White","Temporarily Doubled Up",14,"2009-2010"
"Home Gardens Academy","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Home Gardens Academy","F","Hispanic","Hotels/motels",1,"2009-2010"
"Home Gardens Academy","F","Hispanic","Temporarily Doubled Up",96,"2009-2010"
"Home Gardens Academy","M","Hispanic","Hotels/motels",2,"2009-2010"
"Home Gardens Academy","M","Hispanic","Temporarily Doubled Up",95,"2009-2010"
"Home Gardens Academy","M","White","Hotels/motels",1,"2009-2010"
"Home Gardens Academy","M","White","Temporarily Doubled Up",4,"2009-2010"
"Jefferson Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
"Jefferson Elem","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Jefferson Elem","F","Hispanic","Hotels/motels",4,"2009-2010"
"Jefferson Elem","F","Hispanic","Temporarily Doubled Up",60,"2009-2010"
"Jefferson Elem","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Jefferson Elem","F","White","Temporarily Doubled Up",3,"2009-2010"
"Jefferson Elem","M","American Indian/Alaskan Native","Hotels/motels",1,"2009-2010"
"Jefferson Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",2,"2009-2010"
"Jefferson Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Jefferson Elem","M","Black or African American","Temporary Shelters",1,"2009-2010"
"Jefferson Elem","M","Hispanic","Hotels/motels",4,"2009-2010"
"Jefferson Elem","M","Hispanic","Temporarily Doubled Up",57,"2009-2010"
"Jefferson Elem","M","White","Hotels/motels",1,"2009-2010"
"Jefferson Elem","M","White","Temporarily Doubled Up",6,"2009-2010"
"John Adams Elem","F","Black or African American","Hotels/motels",1,"2009-2010"
"John Adams Elem","F","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"John Adams Elem","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"John Adams Elem","F","Hispanic","Temporarily Doubled Up",44,"2009-2010"
"John Adams Elem","F","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"John Adams Elem","F","Hispanic","Temporary Shelters",1,"2009-2010"
"John Adams Elem","F","White","Hotels/motels",3,"2009-2010"
"John Adams Elem","F","White","Temporarily Doubled Up",6,"2009-2010"
"John Adams Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"John Adams Elem","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"John Adams Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"John Adams Elem","M","Hispanic","Temporarily Doubled Up",33,"2009-2010"
"John Adams Elem","M","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"John Adams Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2009-2010"
"John Adams Elem","M","White","Hotels/motels",1,"2009-2010"
"John Adams Elem","M","White","Temporarily Doubled Up",6,"2009-2010"
"John F Kennedy Middle College HS","F","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"John F Kennedy Middle College HS","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"John F Kennedy Middle College HS","F","Hispanic","Temporarily Doubled Up",4,"2009-2010"
"John F Kennedy Middle College HS","F","White","Temporarily Doubled Up",8,"2009-2010"
"John F Kennedy Middle College HS","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"John F Kennedy Middle College HS","M","Hispanic","Temporarily Doubled Up",5,"2009-2010"
"John F Kennedy Middle College HS","M","White","Temporarily Doubled Up",1,"2009-2010"
"John Stallings Elem","F","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"John Stallings Elem","F","Black or African American","Temporary Shelters",1,"2009-2010"
"John Stallings Elem","F","Hispanic","Temporarily Doubled Up",21,"2009-2010"
"John Stallings Elem","F","Hispanic","Temporary Shelters",1,"2009-2010"
"John Stallings Elem","F","White","Temporarily Doubled Up",6,"2009-2010"
"John Stallings Elem","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"John Stallings Elem","M","Hispanic","Temporarily Doubled Up",16,"2009-2010"
"John Stallings Elem","M","Hispanic","Temporary Shelters",1,"2009-2010"
"John Stallings Elem","M","White","Temporarily Doubled Up",4,"2009-2010"
"John Stallings Elem","M","White","Temporary Shelters",1,"2009-2010"
"Lee V Pollard High","F","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Lee V Pollard High","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Lee V Pollard High","F","Black or African American","Temporarily Doubled Up",5,"2009-2010"
"Lee V Pollard High","F","Black or African American","Temporarily Unsheltered",1,"2009-2010"
"Lee V Pollard High","F","Hispanic","Hotels/motels",1,"2009-2010"
"Lee V Pollard High","F","Hispanic","Temporarily Doubled Up",25,"2009-2010"
"Lee V Pollard High","F","Hispanic","Temporary Shelters",1,"2009-2010"
"Lee V Pollard High","F","White","Hotels/motels",1,"2009-2010"
"Lee V Pollard High","F","White","Temporarily Doubled Up",7,"2009-2010"
"Lee V Pollard High","F","White","Temporarily Unsheltered",1,"2009-2010"
"Lee V Pollard High","M","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Lee V Pollard High","M","Black or African American","Temporarily Unsheltered",1,"2009-2010"
"Lee V Pollard High","M","Hispanic","Temporarily Doubled Up",31,"2009-2010"
"Lee V Pollard High","M","Hispanic","Temporarily Unsheltered",1,"2009-2010"
"Lee V Pollard High","M","Hispanic","Temporary Shelters",1,"2009-2010"
"Lee V Pollard High","M","White","Temporarily Doubled Up",6,"2009-2010"
"Lincoln Alternative Elem","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Lincoln Alternative Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Lincoln Alternative Elem","F","Hispanic","Temporarily Doubled Up",12,"2009-2010"
"Lincoln Alternative Elem","F","White","Temporarily Doubled Up",3,"2009-2010"
"Lincoln Alternative Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Lincoln Alternative Elem","M","Hispanic","Temporarily Doubled Up",12,"2009-2010"
"Lincoln Alternative Elem","M","Hispanic","Temporary Shelters",1,"2009-2010"
"Lincoln Alternative Elem","M","White","Temporarily Doubled Up",3,"2009-2010"
"Norco Elem","F","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Norco Elem","F","Hispanic","Temporarily Doubled Up",6,"2009-2010"
"Norco Elem","F","White","Temporarily Doubled Up",2,"2009-2010"
"Norco Elem","M","Asian-Korean","Temporarily Doubled Up",1,"2009-2010"
"Norco Elem","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Norco Elem","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Norco Elem","M","Hispanic","Temporarily Doubled Up",2,"2009-2010"
"Norco Elem","M","White","Temporarily Doubled Up",6,"2009-2010"
"Norco High","F","American Indian/Alaskan Native","Temporarily Doubled Up",2,"2009-2010"
"Norco High","F","Black or African American","Temporarily Doubled Up",8,"2009-2010"
"Norco High","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Norco High","F","Hispanic","Temporarily Doubled Up",30,"2009-2010"
"Norco High","F","White","Hotels/motels",1,"2009-2010"
"Norco High","F","White","Temporarily Doubled Up",33,"2009-2010"
"Norco High","F","White","Temporarily Unsheltered",1,"2009-2010"
"Norco High","M","Black or African American","Temporarily Doubled Up",12,"2009-2010"
"Norco High","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Norco High","M","Hispanic","Hotels/motels",1,"2009-2010"
"Norco High","M","Hispanic","Temporarily Doubled Up",27,"2009-2010"
"Norco High","M","Hispanic","Temporary Shelters",1,"2009-2010"
"Norco High","M","White","Temporarily Doubled Up",30,"2009-2010"
"Norco High","M","White","Temporarily Unsheltered",1,"2009-2010"
"Norco High","M","White","Temporary Shelters",1,"2009-2010"
"Norco Int","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Norco Int","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Norco Int","F","Hispanic","Temporarily Doubled Up",9,"2009-2010"
"Norco Int","F","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2009-2010"
"Norco Int","F","White","Hotels/motels",1,"2009-2010"
"Norco Int","F","White","Temporarily Doubled Up",16,"2009-2010"
"Norco Int","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Norco Int","M","Hispanic","Hotels/motels",1,"2009-2010"
"Norco Int","M","Hispanic","Temporarily Doubled Up",8,"2009-2010"
"Norco Int","M","White","Temporarily Doubled Up",11,"2009-2010"
"NPS","M","Hispanic","Temporarily Doubled Up",1,"2009-2010"
"NPS","M","White","Temporarily Doubled Up",2,"2009-2010"
"Orange Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Orange Elem","F","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Orange Elem","F","Black or African American","Temporary Shelters",1,"2009-2010"
"Orange Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Orange Elem","F","Hispanic","Temporarily Doubled Up",25,"2009-2010"
"Orange Elem","F","White","Temporarily Doubled Up",19,"2009-2010"
"Orange Elem","M","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Orange Elem","M","Hispanic","Temporarily Doubled Up",31,"2009-2010"
"Orange Elem","M","White","Temporarily Doubled Up",25,"2009-2010"
"Orange Grove High","F","Hispanic","Hotels/motels",2,"2009-2010"
"Orange Grove High","F","Hispanic","Temporarily Doubled Up",4,"2009-2010"
"Orange Grove High","F","White","Temporarily Doubled Up",3,"2009-2010"
"Orange Grove High","M","Black or African American","Hotels/motels",2,"2009-2010"
"Orange Grove High","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Orange Grove High","M","Hispanic","Temporarily Doubled Up",9,"2009-2010"
"Orange Grove High","M","White","Temporarily Doubled Up",4,"2009-2010"
"Parkridge Elementary","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Parkridge Elementary","F","Black or African American","Temporary Shelters",4,"2009-2010"
"Parkridge Elementary","F","Hispanic","Hotels/motels",1,"2009-2010"
"Parkridge Elementary","F","Hispanic","Temporarily Doubled Up",62,"2009-2010"
"Parkridge Elementary","F","Hispanic","Temporary Shelters",7,"2009-2010"
"Parkridge Elementary","F","White","Hotels/motels",1,"2009-2010"
"Parkridge Elementary","F","White","Temporarily Doubled Up",4,"2009-2010"
"Parkridge Elementary","M","American Indian/Alaskan Native","Temporary Shelters",1,"2009-2010"
"Parkridge Elementary","M","Asian-Asian Indian","Temporarily Doubled Up",2,"2009-2010"
"Parkridge Elementary","M","Asian-Laotian","Temporarily Doubled Up",1,"2009-2010"
"Parkridge Elementary","M","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Parkridge Elementary","M","Black or African American","Temporary Shelters",3,"2009-2010"
"Parkridge Elementary","M","Hispanic","Hotels/motels",2,"2009-2010"
"Parkridge Elementary","M","Hispanic","Temporarily Doubled Up",78,"2009-2010"
"Parkridge Elementary","M","Hispanic","Temporary Shelters",6,"2009-2010"
"Parkridge Elementary","M","White","Hotels/motels",1,"2009-2010"
"Parkridge Elementary","M","White","Temporarily Doubled Up",3,"2009-2010"
"Parkridge Elementary","M","White","Temporary Shelters",2,"2009-2010"
"Prado View Elem","F","Asian-Cambodian","Temporarily Doubled Up",1,"2009-2010"
"Prado View Elem","F","Asian-Chinese","Temporarily Doubled Up",3,"2009-2010"
"Prado View Elem","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Prado View Elem","F","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Prado View Elem","F","Filipino","Temporarily Doubled Up",4,"2009-2010"
"Prado View Elem","F","Hispanic","Hotels/motels",1,"2009-2010"
"Prado View Elem","F","Hispanic","Temporarily Doubled Up",35,"2009-2010"
"Prado View Elem","F","Pac Islander-Other","Temporarily Doubled Up",1,"2009-2010"
"Prado View Elem","F","White","Hotels/motels",2,"2009-2010"
"Prado View Elem","F","White","Temporarily Doubled Up",20,"2009-2010"
"Prado View Elem","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Prado View Elem","M","Asian-Cambodian","Temporarily Doubled Up",1,"2009-2010"
"Prado View Elem","M","Asian-Korean","Temporarily Doubled Up",3,"2009-2010"
"Prado View Elem","M","Asian-Other","Temporarily Doubled Up",3,"2009-2010"
"Prado View Elem","M","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Prado View Elem","M","Black or African American","Temporarily Unsheltered",1,"2009-2010"
"Prado View Elem","M","Filipino","Temporarily Doubled Up",3,"2009-2010"
"Prado View Elem","M","Hispanic","Temporarily Doubled Up",33,"2009-2010"
"Prado View Elem","M","Pac Islander-Guamanian","Temporarily Doubled Up",1,"2009-2010"
"Prado View Elem","M","White","Temporarily Doubled Up",23,"2009-2010"
"Raney Intermediate School","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","F","Black or African American","Temporarily Doubled Up",6,"2009-2010"
"Raney Intermediate School","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","F","Hispanic","Hotels/motels",2,"2009-2010"
"Raney Intermediate School","F","Hispanic","Temporarily Doubled Up",49,"2009-2010"
"Raney Intermediate School","F","Hispanic","Temporary Shelters",2,"2009-2010"
"Raney Intermediate School","F","White","Hotels/motels",3,"2009-2010"
"Raney Intermediate School","F","White","Temporarily Doubled Up",12,"2009-2010"
"Raney Intermediate School","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","M","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","M","Asian-Vietnamese","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","M","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Raney Intermediate School","M","Declined to state","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","M","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","M","Hispanic","Hotels/motels",2,"2009-2010"
"Raney Intermediate School","M","Hispanic","Temporarily Doubled Up",67,"2009-2010"
"Raney Intermediate School","M","Pac Islander-Other","Temporarily Doubled Up",1,"2009-2010"
"Raney Intermediate School","M","White","Temporarily Doubled Up",14,"2009-2010"
"Raney Intermediate School","M","White","Temporary Shelters",1,"2009-2010"
"River Heights Int.","F","Asian-Cambodian","Temporarily Doubled Up",1,"2009-2010"
"River Heights Int.","F","Asian-Chinese","Temporarily Doubled Up",1,"2009-2010"
"River Heights Int.","F","Asian-Other","Temporarily Doubled Up",1,"2009-2010"
"River Heights Int.","F","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"River Heights Int.","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"River Heights Int.","F","Hispanic","Hotels/motels",1,"2009-2010"
"River Heights Int.","F","Hispanic","Temporarily Doubled Up",16,"2009-2010"
"River Heights Int.","F","White","Temporarily Doubled Up",2,"2009-2010"
"River Heights Int.","F","White","Temporarily Unsheltered",1,"2009-2010"
"River Heights Int.","M","Asian-Chinese","Temporarily Doubled Up",1,"2009-2010"
"River Heights Int.","M","Black or African American","Temporarily Doubled Up",4,"2009-2010"
"River Heights Int.","M","Filipino","Temporarily Doubled Up",2,"2009-2010"
"River Heights Int.","M","Hispanic","Temporarily Doubled Up",17,"2009-2010"
"Riverview Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Riverview Elem","F","Black or African American","Temporarily Doubled Up",2,"2009-2010"
"Riverview Elem","F","Black or African American","Temporary Shelters",1,"2009-2010"
"Riverview Elem","F","Filipino","Temporarily Doubled Up",1,"2009-2010"
"Riverview Elem","F","Hispanic","Temporarily Doubled Up",36,"2009-2010"
"Riverview Elem","F","White","Temporarily Doubled Up",35,"2009-2010"
"Riverview Elem","M","American Indian/Alaskan Native","Temporarily Doubled Up",1,"2009-2010"
"Riverview Elem","M","Asian-Chinese","Temporarily Doubled Up",2,"2009-2010"
"Riverview Elem","M","Black or African American","Temporarily Doubled Up",3,"2009-2010"
"Riverview Elem","M","Declined to state","Temporarily Doubled Up",1,"2009-2010"
"Riverview Elem","M","Hispanic","Hotels/motels",1,"2009-2010"
"Riverview Elem","M","Hispanic","Temporarily Doubled Up",76,"2009-2010"
"Riverview Elem","M","Pac Islander -Samoan","Temporarily Doubled Up",1,"2009-2010"
"Riverview Elem","M","White","Hotels/motels",1,"2009-2010"
"Riverview Elem","M","White","Temporarily Doubled Up",33,"2009-2010"
"Riverview Elem","M","White","Temporary Shelters",1,"2009-2010"
"Ronald Reagan Elementary","F","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Ronald Reagan Elementary","F","Hispanic","Temporarily Doubled Up",2,"2009-2010"
"Ronald Reagan Elementary","F","White","Temporarily Doubled Up",1,"2009-2010"
"Ronald Reagan Elementary","M","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Ronald Reagan Elementary","M","Black or African American","Temporarily Doubled Up",1,"2009-2010"
"Ronald Reagan Elementary","M","Hispanic","Temporarily Doubled Up",3,"2009-2010"
"Ronald Reagan Elementary","M","White","Temporarily Doubled Up",1,"2009-2010"
"Rosa Parks Elem","F","Asian-Asian Indian","Temporarily Doubled Up",1,"2009-2010"
"Rosa Parks Elem","F","Asian-Chinese","Temporarily Doubled Up",7,"2009-2010"
"Rosa Parks Elem","F","Asian-Japanese","Temporarily Doubled Up",1,"2009-2010"
